slugID	title	subtitle	roles	seriesid	videoOrder	copy	youtubeId	href	videoSrc	imageSrc	imageAlt	videoPoster	vertical
will-smith	Will Smith in Riyadh	Westbrook Studios	Editing	westbrook	1	Will Smith performing in Riyadh at Soundstorm 2023	_NiN2zU79is			/thumbposters/Will Smith Compliment.jpg			
will-smith2	Will Smith at Grammy's	Westbrook Studios	Editing	westbrook	2	A GRAMMY Salute To 50 Years Of Hip-Hop	WCnB9UlEVR8						
mamadou	Mamadou Safaiou Barry	Westbrook Studios	Editing		3		oBA3wbubAfc						
class-88-1	Class of '88 Run-DMC Teaser	Westbrook Studios	Editing	westbrook	4		XoBB3s_6K7I						
class-88-2	Class of '88 Queen Latifah Teaser	Westbrook Studios	Editing	westbrook	5		BVw1jqYo5j4						
Honest-waitress-1	The Honest Waitress: Ignored	PitTV ft. Leila Graham	Directing | Editing	the-honest-waitress	1		zlFyjWf4hOk						
Honest-waitress-2	The Honest Waitress: Lemons	PitTV ft. Leila Graham	Directing | Editing	the-honest-waitress	2		0SX0n9FG_GY						
Honest-waitress-3	The Honest Waitress: Soda	PitTV ft. Leila Graham	Directing | Editing	the-honest-waitress	3		Gk7n1WSpxXg						
Honest-waitress-4	The Honest Waitress: Euope	PitTV ft. Leila Graham	Directing | Editing	the-honest-waitress	4		2z09RB3wsGk						
Honest-waitress-5	The Honest Waitress: Menu	PitTV ft. Leila Graham	Directing | Editing	the-honest-waitress	5		FUto6VeJfbI						
tech-videos-showreel	Making Of Garden of Eden			tech	2	Devlog of using Blender, Wonder Dynamics, Unreal Engine to design a 3D scene	bpkZSxtZd7Y		/videos/mff.mp4				
unreal	Unreal Engine Devlog			tech	3	Devlog of Unreal Engine AI mechanics	c22gpypHv2k		/videos/unreal.mp4				
tootsies-promo-bts	Environment Replacement Vlog			tech	1	Devlog of Enviroment replacement	a-gHLCFfNEs		/videos/tootsiespromo.mp4				
ask-alexa	Ask Alexa	ft. Anna Roisman & Lane Kwederis	Directing | Editing	sketch	11		dQtJTZeBWUQ		/videos/alexa.mp4				
beauty-and-the-bowl	Beauty and the Bowl	ft. Gianmarco Soresi & Uncle Function	Directing | Cinematography | Editing	sketch	1	Sketch comedy featured on Funny Or Die.	nRWyNY1xmto		/videos/beautyandthebowl.mp4				
cocaine	Cocaine PSA	ft. Bridgette Everett, Arthur Meyer, Joel Kim Booster	Directing | Editing	sketch	10		5n_Zl5bhUhU		/videos/cocaine.mp4				
dog	The Only Dog Video You Need to Watch	Funny or Die	Directing | Cinematography	sketch	6	ft. Lauren Ireland, Elyse Brandau, Brennan Lee Mulligan, Lilu Du, Dan Chamberlain & more.	tgND22y7uuA		/videos/dogs.mp4				
grandmothers-announcement	Grandmother's Announcement	ft. Natalie Walker & Lulu Krause	Directing | Cinematography | Editing	sketch	4		PEwfwxtwkWE		/videos/grandma.mp4				
Mta-shames-nyc	MTA Shames NYC	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Directing | Editing	sketch	3	Featured in Metro News!	qhXZjxXbW4s		/videos/mta.mp4			/thumbposters/mta.jpg	
poly-bachelorette	Poly Bachelorette		Directing | Cinematography | Co-Writer | Editing	sketch	5		RhzSqWrjx7Q		/videos/poly.mp4				
Secret-agent	Secret Agent Betrayal	Andy's Originals ft. Geil Comedy	Directing | Writer | Editing	sketch			kNGsC9uqwVs		videos/secretagent.mp4				
settling	Settling	ft. Gianmarco Soresi & Megan Sass	Directing | Cinematography | Editing	sketch	2		qSPdMoxsZoU		/videos/settling.mp4				
The-painter	The Painter	Quickiefest	Directing | Cinematography | Editing	sketch	8	Winner Audience Award	WnEJ9xsAkZ0		/videos/painter.mp4				
dune	Dune Meme			sketch			VilAyt3VQH4						
less	Less	ft. Matt Rogers, Tessa Skara	Directing | Writer | Cinematography | Editing	sketch			dcWy5-q_4I8						
operators	Operators	Nevermore Film Fest 2024	Directing | Writing | Editing	shorts	1		aa2zI7PO-X8		/videos/Operators.mp4				
sqand	Sqand		Directing | Cinematography | Writer | Editing		3		fTbRmOHJp1I		/videos/sqand.mp4				
Tell-my-wife	Tell My Wife	Big Apple Film Fest 2023	Directing | Writing | Editing	shorts	2		daNydp3mpI0		/videos/Tell_My_Wife.mp4				
